               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08039,            0.055364,            0.044535,             0.80121,             0.19091,             0.22051,             0.12669,            0.060526,            0.047371,            0.032242,            0.070008,           0.0033325,           0.0033325
                   1,            0.070751,            0.052141,            0.031814,             0.68418,             0.25255,              0.2768,             0.16127,            0.057882,            0.046726,            0.027016,            0.039876,           0.0065338,           0.0065338
                   2,            0.068845,            0.051968,            0.029339,             0.69761,             0.26469,             0.29526,             0.16978,            0.057231,            0.047239,            0.025565,           0.0096116,           0.0096032,           0.0096032
                   3,            0.067004,            0.051967,            0.028015,             0.71582,             0.28161,             0.31498,             0.18281,            0.055974,            0.046485,            0.024094,            0.009406,            0.009406,            0.009406
                   4,            0.065542,            0.051265,            0.026802,             0.72186,             0.28763,             0.32147,             0.18751,            0.055419,             0.04601,            0.023226,            0.009406,            0.009406,            0.009406
                   5,            0.064546,             0.05075,            0.025967,             0.73918,             0.28993,             0.32886,             0.19339,            0.054842,            0.045667,            0.022786,            0.009208,            0.009208,            0.009208
                   6,            0.063874,            0.049794,            0.025522,             0.74652,             0.29608,             0.33413,             0.19709,            0.054553,            0.045388,            0.022389,             0.00901,             0.00901,             0.00901
                   7,            0.063435,            0.049591,             0.02501,             0.73488,             0.30495,             0.34063,             0.20141,            0.054178,            0.045232,            0.022137,            0.008812,            0.008812,            0.008812
                   8,            0.063098,            0.049476,            0.024668,             0.74751,              0.3039,             0.34378,             0.20377,            0.053958,            0.044916,            0.021854,            0.008614,            0.008614,            0.008614
                   9,            0.062872,            0.049159,            0.024401,             0.74571,             0.30871,             0.34732,             0.20636,            0.053705,            0.044884,            0.021678,            0.008416,            0.008416,            0.008416
                  10,             0.06244,            0.048736,             0.02413,             0.75041,             0.31067,             0.35007,             0.20844,            0.053448,            0.044718,             0.02141,            0.008218,            0.008218,            0.008218
                  11,            0.062298,            0.048802,            0.023918,             0.75099,             0.31165,             0.35234,             0.21042,             0.05325,             0.04449,            0.021198,             0.00802,             0.00802,             0.00802
                  12,            0.061995,            0.048255,            0.023747,             0.75385,             0.31454,             0.35424,             0.21211,            0.053135,            0.044488,            0.021172,            0.007822,            0.007822,            0.007822
                  13,            0.061776,            0.048204,            0.023525,             0.75607,             0.31775,              0.3581,             0.21518,             0.05297,              0.0443,            0.020945,            0.007624,            0.007624,            0.007624
                  14,            0.061735,            0.048328,            0.023457,             0.76597,             0.31486,             0.35831,             0.21527,            0.052804,            0.044215,            0.020816,            0.007426,            0.007426,            0.007426
                  15,            0.061447,             0.04761,            0.023167,             0.75993,             0.32019,                0.36,              0.2167,            0.052673,            0.044145,            0.020717,            0.007228,            0.007228,            0.007228
                  16,            0.061281,            0.047668,            0.023085,             0.74908,             0.32345,             0.36259,             0.21753,            0.052579,            0.044079,            0.020718,             0.00703,             0.00703,             0.00703
                  17,            0.060997,            0.047399,            0.022877,               0.764,             0.32366,             0.36396,             0.21946,             0.05247,            0.043992,            0.020649,            0.006832,            0.006832,            0.006832
                  18,            0.061107,            0.047799,            0.022877,             0.76245,               0.325,             0.36559,             0.22087,            0.052385,            0.043895,            0.020535,            0.006634,            0.006634,            0.006634
                  19,            0.060787,            0.047388,            0.022685,             0.77252,             0.32426,             0.36705,             0.22212,            0.052318,             0.04385,            0.020539,            0.006436,            0.006436,            0.006436
                  20,            0.060693,            0.047254,            0.022582,             0.76808,             0.32549,             0.36828,             0.22304,            0.052257,            0.043818,            0.020534,            0.006238,            0.006238,            0.006238
                  21,            0.060543,             0.04728,            0.022453,             0.76655,             0.32816,             0.36928,             0.22373,            0.052183,            0.043761,            0.020546,             0.00604,             0.00604,             0.00604
                  22,            0.060635,            0.047214,             0.02236,             0.76837,             0.32905,             0.37023,             0.22441,            0.052122,            0.043738,            0.020495,            0.005842,            0.005842,            0.005842
                  23,            0.060345,            0.046803,            0.022251,             0.77796,             0.32732,             0.37128,             0.22503,            0.052035,            0.043684,            0.020472,            0.005644,            0.005644,            0.005644
                  24,            0.060168,            0.046593,            0.022102,             0.77953,             0.32777,             0.37205,              0.2256,            0.051994,            0.043647,            0.020438,            0.005446,            0.005446,            0.005446
                  25,            0.060001,            0.046577,            0.021945,             0.70288,             0.33097,             0.37279,              0.2259,            0.051972,            0.043636,            0.020403,            0.005248,            0.005248,            0.005248
                  26,            0.059852,             0.04629,            0.021813,             0.70394,             0.33238,             0.37371,             0.22635,             0.05193,            0.043607,             0.02038,             0.00505,             0.00505,             0.00505
                  27,            0.059919,            0.046455,            0.021786,             0.70654,             0.33145,             0.37398,             0.22688,            0.051899,            0.043585,             0.02036,            0.004852,            0.004852,            0.004852
                  28,             0.05972,            0.046033,            0.021664,              0.7045,             0.33283,             0.37445,             0.22723,            0.051861,            0.043569,            0.020319,            0.004654,            0.004654,            0.004654
                  29,            0.059637,            0.046197,             0.02154,             0.70774,             0.33154,              0.3748,             0.22755,             0.05184,            0.043557,            0.020289,            0.004456,            0.004456,            0.004456
                  30,             0.05941,            0.046064,            0.021413,             0.70233,             0.33347,             0.37517,             0.22785,            0.051824,            0.043543,            0.020271,            0.004258,            0.004258,            0.004258
                  31,            0.059457,            0.045991,            0.021413,             0.70158,             0.33475,             0.37541,             0.22819,            0.051809,            0.043534,            0.020265,             0.00406,             0.00406,             0.00406
                  32,            0.059181,             0.04555,            0.021306,              0.7029,              0.3343,             0.37533,              0.2282,            0.051791,            0.043523,            0.020257,            0.003862,            0.003862,            0.003862
                  33,            0.059013,            0.045591,            0.021101,              0.7037,             0.33393,             0.37577,             0.22829,            0.051771,            0.043512,            0.020249,            0.003664,            0.003664,            0.003664
                  34,            0.059066,            0.045706,            0.021066,             0.70254,             0.33414,             0.37567,             0.22854,            0.051754,            0.043505,            0.020247,            0.003466,            0.003466,            0.003466
                  35,            0.058846,            0.045516,            0.020963,             0.70375,             0.33383,             0.37575,             0.22878,            0.051738,            0.043498,            0.020245,            0.003268,            0.003268,            0.003268
                  36,            0.058798,            0.045358,            0.020887,             0.70444,             0.33376,             0.37605,             0.22902,            0.051723,            0.043487,            0.020238,             0.00307,             0.00307,             0.00307
                  37,            0.058554,            0.044972,             0.02069,             0.70491,             0.33365,             0.37621,             0.22911,             0.05171,            0.043478,            0.020235,            0.002872,            0.002872,            0.002872
                  38,            0.058493,            0.044879,             0.02061,             0.70438,             0.33367,             0.37614,             0.22933,            0.051695,            0.043469,            0.020232,            0.002674,            0.002674,            0.002674
                  39,            0.058215,            0.044625,            0.020521,             0.70324,             0.33354,             0.37629,              0.2294,            0.051683,            0.043461,            0.020231,            0.002476,            0.002476,            0.002476
                  40,             0.05809,            0.044569,            0.020393,              0.7037,             0.33388,              0.3764,             0.22962,             0.05167,            0.043454,            0.020228,            0.002278,            0.002278,            0.002278
                  41,             0.05809,            0.044635,            0.020333,             0.70449,             0.33403,             0.37657,             0.22989,            0.051654,            0.043447,            0.020227,             0.00208,             0.00208,             0.00208
                  42,            0.057879,            0.044144,            0.020071,             0.70448,             0.33409,              0.3767,             0.22992,            0.051641,            0.043443,            0.020226,            0.001882,            0.001882,            0.001882
                  43,             0.05785,            0.044309,             0.02009,             0.70465,             0.33391,             0.37682,             0.23013,            0.051627,            0.043437,            0.020222,            0.001684,            0.001684,            0.001684
                  44,            0.057716,            0.043891,            0.020012,             0.70568,             0.33373,             0.37704,             0.23035,            0.051614,            0.043431,            0.020218,            0.001486,            0.001486,            0.001486
                  45,            0.057559,            0.043897,            0.019795,             0.70642,              0.3335,             0.37707,             0.23046,            0.051602,            0.043426,             0.02022,            0.001288,            0.001288,            0.001288
                  46,             0.05732,            0.043735,            0.019747,             0.70866,             0.33306,             0.37716,             0.23042,            0.051592,            0.043423,            0.020224,             0.00109,             0.00109,             0.00109
                  47,             0.05732,            0.043604,            0.019644,             0.70813,             0.33329,             0.37723,             0.23055,            0.051582,            0.043421,            0.020224,            0.000892,            0.000892,            0.000892
                  48,            0.057073,            0.043398,            0.019486,             0.70885,              0.3331,             0.37731,              0.2306,            0.051574,             0.04342,            0.020229,            0.000694,            0.000694,            0.000694
